comment,sentiment
"اذا الموديل موجود في تونس يعني قطع الغيار و الاكسسوارات موجودين اذا لا بش تواجه مشاكل في قطع الغيار الموديلات اللي عنا      ",neutral
"السلام عليكم، برشى مشكروهمش بصراحة من ناحية جودة الموتور و البلاستيك الداخلي",negative
"بلوهم و اشربو ماها ربي انوب ",negative
"يعني سيارة كهربائية تخفض استهلاك المحروقات و تستعمل الكهرباء الي هو اصلا مولد من المحروقات  عبارة ما عملنا شيء و اللي مش يربحو المواطن من ثمن البنزين مش يخسرو غلاء سعر السيارة الي اصلا هذا القطاع يعاني من مشكل انهدام المنافسة و بتالي غلاء الاسعار و دون ان ننسى ثمن الكهرباء المرتفع",negative
"خويا صناعة السيارا الكرهبائية كلو منافسة و غالبية صانعي السيارات عندهم موديلات كهربائية و زيد  الصينية سياراتها تنافس التسلا وتفوقت عليها و السعر معقول خويا كان في تونس الأسعار تولي في العشرة أما في الخارج الاسعار عادية",neutral
"ردبالكم راهو لما تصب الشتاء والفضنات راهو طيح انبان وطصليحها غالي",negative
"براس والديك نقص ملكذب راو فما ڨوڨل و اليوتيوب فيه فيديوهات متع كراهب كهربائية تشق في الوديان و نصها تحت الماء و هنا في أمريكا شفتهم بعينيا و جيراني كاسبين منهم و جوهم احلى جو ما تحشمش تكذب بالك العباد معندهاش أنترنات شتعرف ",negative
"المواطن العادي البسيط المقيم و عايش في تونس ينجم يكمندي كرهبة كهربائية ولا لا و قداش يخلص عليها؟",neutral
"السيارة الكهرباءية مارد راهو معناش لبنية تحتيةلا طقس سخون كان شعلت معادش تطفي                    ",negative
"يا أخي السيارات الكهراباءية يلزمها ايجاد محطات شحن في الشوارع،و هذا غير موجود في تونس؟؟؟؟؟انسى سيارة كهربائية في تونساحسن شيء و نصيحة للمقيمين في الخارج لا تدخلوا سيارات الى تونس،شبكة الطرق خطيرة جدا و سياقة التوانسة عشواءية و ايظا خطيرة،و اجراءات الديوانة معقدة و تعجيزية،",negative
"البطارية أغلى من حق الكرهبة أصبر بركة تو تشوف العجب من غلاء قطع غيار السيارات الكهربائية والله ماهي حل واكبر غلطة ارتكبتها ربي يعوضك خير",negative
"تسمع كان لكلام تجي تشوف تلقا اقل كرهبة ب  مليون",negative
"النسبة للمواطن العادي الي ما خرجش للخارج وما عندوش الإمكانية متاع عام ويحب ياخو سيارة كهربائية بنفس الأداءت القمرقية ،ما هي الإجراءات ؟؟؟؟؟؟؟؟وشكرا",neutral
"باختصار بلاد متخلفة",negative
"سيارة كهرباءية  الرخيصة ب  مليون   يلزم يشري معاها       باش ينجم يشرجي تحت الكالاتوسة  و يروح في العشية",negative
"مواطن بسيط يحب كرهبة الكتريك و رخيصة شنو يلزمو يعمل و قداش تتكلف، مثال داسيا سبرينتر اللي ذكرها السيد و شكرا",neutral
"لم تسأل اهم سؤال هل توجد محطات الشحن في كامل تراب الجمهورية ",neutral
"فما فيديو هبط مبعد الفيديو هذا يحكي على محطات الشحن",neutral
"العالم كامل مي خلصش على الكراهب الإلكتروني هاذا قانون دولي كان في تونس يخلصو شي",negative
"فما فيديو ثاني في القناة هبط مبعد هذا يحكي على بلايص الشحن",neutral
"لازد ننطقو السيارة كرهبة وزيدها كهربائية حتى نطقها مع نطق الكرهبة صعيب هذا مشروع فاشل في تونس خليونا في همنا مناش ناقصين هم جديد",negative
"المشكل انها الدولة اتلوجلك على خلاص يعوض الوقود لانها يجي انهار و ماعادش اتبيع المازوط و الاسانص",positive
"كي طيح بان نهزها لنفيخة مكانيسان الحومة؟",neutral
"ماهي الديوانة باش تخلص عن طريق الستاغ  سيارة كهرباءية في تونس تحب فاتورة الضو تجي  ملاين ؟ ",negative
"مازالت تونس غير مهيأة لإستيعاب السيارات الكهربائية اللي هي أصلا غير مصممة لتتأقلم و تتزقلم مع ضروفنا و طبيعتناو أيضا نقطة مهمة جدا بتكاثر الس الكهربائية سوف يزيد الجهد على توليد الطاقة، يعني إجهاد الستاغ و كل ما يترتب عنه يجب قبل كل شيء الإستثمار في الطاقات المتجددة والنضيفةيعني ما نسبقوش الحصر قبل الجامعكيف عادتنا كل شيء نعملوه بالبهامةو مؤخراتنا عرايا و فرحانين بالخاتم ختمت الميضوع",negative
"يا أخي ثم حاجة ما حكيتش عليها هي البطرية الباهضة الثمن  في حالة يجب تغييرها، و سعرها يساوي نصف سعر السيارة فحذار من السيارات المستعملة طبيعة عملي في نفس الميدان  و لست أتكلم على الهواء",neutral
"  يمكن في اي لحضة تتفجر",negative
"معندناش بنية تحتية متع شارج اولا ثانيا معناش ناس متكونيين باش يصلحوهم ثالثا كياساتنا مخربقة يعني شيء ما يجعش",negative
"اهم شي باش تجيب سيارة مستعملة كهربائية تشوف حالتها العامة و حالة البطاريات و خاصة لازم الشاحن متاحها الاصلي يكون معاها ابعد عن السيارة الي ما عندهاش وقتها الشاحن الاصلي ، في العموم فما زوز شواحن للسيارة واحد منزلي وواحد لبرة في نقاط الشحن لازم تشوف حالة البطارية ، قاعدة اساسية في البطارية عمرها و الكيلومترات المقطوعة باش تعرف حالتها و نوعية الشحن المستعمل علما و ان الشحن السريع  يهدد البطارية و سلامتها و يقلص من مدى الكيلومترات المقطوعة و خاصة انو اغلب البطاريات ليثيوم قابل للاشتعال بسبب تماس كهربائي واغلب الحالات نتيجة الشحن السريع الدائممثلا سيارة كهربائية عمرها ثلاثة سنين في  و  الف كلم  يورو ، السوم ممكن يعجبك  ،ابعد عليها ، صاحبها اكيد يمشي بيها مسافات كبيرة و يشحن شحن سريع  ، باش تلقى فيها مشاكل و حتى  من الشحن ما تخلطش عليها صحيح فما اليوم مراكز تشخيص للبطاريات يعطيك كشف كامل لحالة البطارية ب يورو و يمكن تحسين فاعيلتها لكن من المستحسن  ولو سيارة ب   الف يورو ب  كلم عمرها  او سنين احسن  من سيارة  او الاف يورو البطارية فيها مشاكل لازم تثبت من حالة السيارة هل هناك عقد استئجار البطارية و الا لا  موش الثمن باهي و تنسى انو فما استئجار البطارية من املاكها الحالي  مدى   البطاريات قبل الشحن مرتبط اساسا بعوامل هامة الوزن متاع السيارة مهم ، سيارة ثقيلة بالركاب و الحمولة تؤثر بشكل كبير على البطاريات طريقة السياقة  مهمة سياقة عنيفة و سريعة مع استعمال مكابح دائما تعب البطاريات و في فترة وجيزة  تولي السيارة غير عملية و فيها مشاكل ، زيد الشحن الدائم و خاصة السريع يكمل عليها السيارة الكهربائية اليوم مفيدة للذهاب للعمل و وسط العاصمة و الضواحي او اماكن لا تبع   كلم عموما اذا انت مضطر دائما لمسافات طويلة سيب عليك ، اليوم المدى المتوسط للبطاريات قبل الشحن في حدود   كلم في السيارات متاع   يورو  حسب معايير   انا احكي عن السيارات المتاحة لاغلب الجمهور رينو زوي نيسان ليف و مودالات اخرى بدات تخرج بيجو  و فيات  و داسيا سبرينغ ارخص السياراتالسيارات الصينية الي عاملة غولة في اروبا اليوم نحكي الكهربائية لدي تحفظ عليها صحيح الصيني موجود في تونس لكن مصلحة ما بعد البيع و الصيانة ما تشجعش في المدى الطويل خاصة وكيل لماركة قديمة يبقى مضمون موش ماركة صينية موش مضمون تبقى لسنوات تخرج في اية لحظة و الحريف يوحل    تيسلا اس و اخواتها و مرسيدس ايكو و بورش تيكان  اس الي مداها اكبر حسب مواصفات  لكنها موش للزواولة مثلنا نستناوو اليوم البطاريات الصلبة او بطاريات السوديوم ايون باش مدى البطاريات يتحسن و وزنها يخف و تكون امنة ، الكل قاعد يخدم في المجال و توصلو لنتايج مهمة ، من هنا  ل    باش تولي سيارات بمثل البطاريات الصلبة باسعار باهية  ان شاء الله سعر الدينار يتحسن باش ترخص في العموم اهم شي قبل الختام في تونس حالة الطرقات تتحسن و نقاط الشحن تكثر لان سيارات اليثيوم تتعب في تونس في السخانة و الحفر و تولي قنبلة موقوتة  طريقة الاستعمال كيما قلت تمشي للخدمة و وسط البلاد تولي افار  السيارة ،  بتقدم التكنولوجيا اليوم الوكيل لازم يوفر خدمات ذات جودة خصوصا تكنولوجيا السيارات المبرمجة او التواصل خصوصا وان السيارة الكهربائية لازم كل مدة تمر لتحيين البرمجية بالنسبة للمحرك او وسائل التواصل و الحاسوب المدمج تونس لازمها لحدود  باش تولي السيارة الكهربائية بتكنولوجيا البطاريات الصلبة و البنية المهيئة و نقاط الشحن المتوافرة و مدى   كلم للبطارية مشجعة للتونسيين باسعار معقولة و خدمات مضمونة",neutral
"خويا السايرات الكهربائية توا اختيار فاشل  لا يزي ما فماش اشكون يصلح و يتلهى بالصيانة  نقطة اخرى نقاط الشحن السريع موش موجودة بكثرة زيد الشاحن الكلاسيكي لازمو ساعات يعني كل واحد يحدر روحو في الليل قبل ما ينام يحت الشحن و النقطة الاهم البطاريات الليثيوم في طقس تونس عبارة عن قنبلة موقوتة يمكن بسوء الطريق و الحرارة تنفجر و البطاريات لا يمكن اطفاؤها  لازم الناس تتريث  سنين باش نمرو لبطاريات الصلبة او بطاريات  السوديوم الي تويوتا و برشا شركات تطور فيها اليوم في كلمة موش وقت السيارة الكهربائية اليوم في تونس لازم  سنين على  الاقل باش تحضر البلاد و تتغير البطاريات و تتوفر الصيانة",negative
"اذا تعطلت وين يصلحها وفي تونس مافماش مكنيك سيارات كهربائية ؟؟",neutral
"خويا السايرات الكهربائية توا اختيار فاشل  لا يزي ما فماش اشكون يصلح و يتلهى بالصيانة  نقطة اخرى نقاط الشحن السريع موش موجودة بكثرة زيد الشاحن الكلاسيكي لازمو ساعات يعني كل واحد يحدر روحو في الليل قبل ما ينام يحت الشحن و النقطة الاهم البطاريات الليثيوم في طقس تونس عبارة عن قنبلة موقوتة يمكن بسوء الطريق و الحرارة تنفجر و البطاريات لا يمكن اطفاؤها  لازم الناس تتريث  سنين باش نمرو لبطاريات الصلبة او بطاريات  السوديوم الي تويوتا و برشا شركات تطور فيها اليوم في كلمة موش وقت السيارة الكهربائية اليوم في تونس لازم  سنين على  الاقل باش تحضر البلاد و تتغير البطاريات و تتوفر الصيانة",negative
"شكرا على المشاهدةفيديو ثاني حول كيفية استعمال سيارة كهربائية في تونس موجود أيضا في القناة ",neutral
"عسلامة نزلنا فيديو ثاني حول السيارات الكهربائية وين حكينا على الصيانة اللازمة و كيفاش تصير و في الفيديو هذا حكينا انو من المحبذ الشخص يجيب كرهبة عندها وكيل في تونس بش يتفادى المشاكل",neutral
"أطول رحلة عملتها بسيارة كهربائية فوق  كيلو  و السيارات تمشي  كيلوا ",neutral
"بلاهي فما ميني كوبر  العالية كما   وقداش سومها سيارة كهربائية نحكي",neutral
"شنوا  ساعتين ونص وانا نشرجي ما عندي ما نعمل  وانا مربوط في نقطة الشحن ؟؟؟   مضيعة للوقت ، ثم اذا كانت السيارة مشحونة  في  وتظل واقفة في المستودع في الليل هل في الصباح يكون الشحن صفر وضعيف جدا  مثل ما يحصل للهاتف الجوال ، في هذه الحالة ، هذه السيارة ممنوع  المجازفة بها واستعمالها لمسافات طويلة وفي الليل والتخييم في الجبال او الشواطئ حتى اذا كان الشحن كامل وفول  ربما ينقص الشحن طوال الليل والسيارة رابضة  وفي الصباح يكون الشحن ضعيف جدا او منعدم فكيف ستشحن من جديد وهي رابضة في الخلاء ويتعقد الموقف أكثر اذا كان معك أطفال مجرد تذهب للسباحة وترجع تجد سيارتك استهلكت كل الشحن وتمشي على الحديد ماذا تفعل ؟؟ في احسن الحالات تضيف  ساعات لشحنها من جديد يعني اذا برمجت خرجة انت والعائلة لتبحيرة  لنصف يوم سوف تجبرك هذه السيارة على اضافة النصف الثاني من اليوم هذا غير مقبول اطلاقا ان تتحكم هذه السيارة في وقتك لا نريدها",negative
"لاحد يصدقه ياجماعه  انا معاي سيارة صينيه ومن ارخص الانواع وماشاء الله من يوم ماشتريتها ماقد سويت لها صيانه كل الي اسويه حرفيا اني اشحنها واذا شحنتها اشحنها مره في الاسبوع لانها تمشيني اسبوع كامل",positive
"الكهربائيه لاتصلح لحرارة أجواء الخليج من واقع تجربه",negative
"ملاحظة ،اشهار السيارات الكهرباءية في تونس ناقصة برشا وكذلك التسعيرات غير واضحة على الصعيد الوطني عليكم استجواب الشارع التونسي",neutral
"كم من الوقت للاكتفاء الذاتي من السيارات الكهرباءية في تونس ملاحظة التقليص من ثمن السيارات الكهرباءية للمستوى المتوسط هاما للاقبال على الشراء والتشويق",neutral
"كم تدوم بطارية السيارة وكم من ساعة الشحن",neutral
"نشالله تكون من نصيبي خاترني نحب البيئة ",positive
"متتوفرش فيها السلامة الكاملة خطر موت  كيف قدر عليكم ربي عملتوها بحجم عادي كيف لكراهب كل",negative
"بالتوفيق إن شاء الله كل الدعم تحيا تونس وولاد بلادي",positive
"عادي طيح في حفرةتقعد إنت و السيارة فيها حتى لين تجي الحماية",negative
"ما جات شي",negative
"أول الغيث قطرة خطوة باهية بالتوفيق",positive
"كل التوفيق",positive
"حسنو من الشكل الخارجي وعدد المقاعد والسرعة",neutral
"الشيء احسن من اللا شيء  ",positive
"بالتوفيق ان شاء الله ",positive
"برويطة إليكتريك",negative
"عملتو دمج مع شركة ويليس و خرجتولنا سيارة كهربائية صالحة للمواطن و للتاكسي و تربح الناس لكل علاش زوز شركات مفرقين خرجولنا سيارات من القرن العشرين  العالم تطور ",neutral
"والله السيارة رهيبة",positive
"صديقة للبيئة مثل  ",positive
"ليس بغريب على الشعب التونسي العريق، بلد قرطاج،حن بعل  بلد العقول والاجتهاد الثروة الحقيقية هي العنصر البشري الأصيل وليس بلد محطة وقود  مشالله مزيد من التألق",positive
"الهجينة افضل بكثير الكهربائية ماراح احد يشتريها بسبب مشاكل البطارية ",negative
"كم قيمة البطارية لجميع السيارات وبعدين شوف خلال عشر سنوات انت ايش ربحان وايش خسران وحتى قيمة السيارة ممكن تتاثر عند البيع",neutral
"اغبى فكرة هي السيارات الكهربائيةماهي المصادر التي من خلالها يتم شحن السيارة الكهربائية ؟ اليس الكرباء  كيف يتم توليد الكهرباء ؟ اكيد عن طريق استخراج المواد الاحفورية اي النفط والغاز والفحم اي نفس الفكرة ولكن بطريقة غير مباشرةناهيك عن ارتفاع اسعار الكهرباءصناعة السيارات الكهربائية تواجه مشاكل والاقبال عليها انخفض الى مستويات منخفظة مما ادى الى تخفيض انتاجها عالميالاننسى ان صناعة بطارية السيارة لها تأثير خطير على المناخ",negative
"اولا الكهرباء مستقبلا ستكون بالطاقة الشمسية والرياح وسيقل او يعدم الانتاج بالاحفورياتثانيا لنفرض انها تستخرج من الاحفوريات وتستعمل بالسيارات لكنها لاتبعث اي انبعاثات ضاره من العوادم مثل سيارات الديزل",positive
"مع احترامي لحضرتك بس معلوماتك عن الهايبرد ناقصة جداً جداً  السيارات الكهربائية بالكامل لازال الوقت مبكر عليها",negative
"سؤال بما أنه الكهربائية افضل ليش ما يكون سقف السيارة عبارة عن مجمعات شمسيه للطاقة لتوفير طاقة وتخزينها  لحاجه السيارة بدل الحاجه الدائمه للشحن",neutral
"لأنه بطاريات السيارات الكهربائية قابلة للتطوير سنويآ بحيث تشحن في عشر دقائق و تمشي السيارة أكثر من ألف كيلومتر و هي كافية جدآ",positive
"المشكلة في شحن البطارية  ، ياريت الدولة تسمح اكل محطات البنزين بوضع شواحن كهرباء فيها",negative
"هل ممكن شحن السيارة الكهربائية بالمولد؟",neutral
"ياريت تحكي عن عمر البطاريات سيارة الكهربائية  او التيسلا الافتراضيوكم تكلفة في حال تبديل البطاريات ",neutral
"سيارات الكهرباء خيار وليس المستقبل  ولن وتنهي دور السيارة العادية  واهم الاسباب  تغير البطارية بعد ثلاث سنوات تقريبا مكلف جدا  وايضا مشكلة مأخذ الشحن حتى لو كان متوفر بكثرة لكن لا غنى عن توفر مكان للشحن بمزلك وهاد مستحيل التطبيق للجميع  وطبعا المسافة المقطعوعة تعتبر قصيرة لأعادة الشحن مرة اخرى ",negative
"والله سياره كهربائية عن تجربة شي روعه",positive
"للاسف مستقبل السيارات الكهربائية مظلم للناس الفقراء السيارات الكهربائية اذا احترقت مافي اي حدا يقدر يطفي النارالكيلو واط ساعي كل مالوا عم يغلى للاسف مستقلل مظلم",negative
"برأيي كلفة صناعة كم هائل من السيارات الكهربائية غير صديق للبيئة نهائياليثيوم وتلوث البيئةوحرائق بطارية الليثيوم يحتاج كميات هائلة من المياه للإطفاءوالماء رح يكون نادر حتى بالمانيا الله اعلمبرأيي لازم ايجاد حلول لجمع البطاريات التالفة او اللتي لم تعد تعملو ووإلا سوف يعم التلوث التراب والمياه الجوفية",negative
" عزيزي طونيشكرا لك للمعلومة كأني سمعت بهكذا بطارية بوليميرلم لا ماكتبت اولا عنيت به الليثيوم يريدون تسويقه لنا بانه صديق للبيئة وهو ملوث من الاستخراج وبعد انتهاء عمر البطاريةناهيك عن تصرف بعض الناس مثلا القاء السكوترات الكهربائية بنهر الراين نمني النفس معك ومع كل اللذين يحلمون بسيارة نظيفة صديقة للبيئة ١٠٠ بالمئةاللهم أمن بطاريات البوليمير واجعلها رخيصة وصديقة قلب البيئةورخيصة ايضا وغير ثقيلة جداقل اللهم آميينلا نستطيع الا التمني للافضلاذا كان الحل بوليمير لم لاانشالله خيرودمتم بالف خير",negative
"عمر البطارية على الاقل  سنوات والشركات بتعطي فيها ضمان  ",positive
"ما مصير السيارة الكهربائية بعد عشر سنوات عندما تضعف البطارية ما تكلفة تجديد البطاريات هل سادفع ثمن سيارتي مرة أخرى لكي اجدد البطاريات",neutral
"السيارات الكهربائية الألمانيه تملك القوه والفخامه ولكن الاسعار مبالغ فيها وهاد سبب شراء كثير من الناس الصيني مواصفات جديدة وأسعار مناسبة",positive
"يجب ان يكون هناك بحثقبل شراء أى سيارات خصتا سيارات كهربائيةيجب مقارنة المدى وسرعة الشحن والكفاءة في الفئة السعرية للسيارات",neutral
"طاقة نظيفة افضل حل البشرية والطبيعة",positive
"الطاقة الكهربائية تنتج باستعمال حرق الغاز او الوقود الاحفوري اي انها ليست طاقة نظيفة",negative
"السيارات الكهربائية لا تكلفن شيئًا لشحنها على الأقل باستخدام الشاحن الشمسي في المنزل حتى للتنقل من العمل كنت أستقل سيارة أجرة بين العمل ومحطة القطار الآن أستخدم سكوتر كهربائي بتكلفة  دولار لمسافة  كيلومترات",positive
"السيارات الكهربائيه غير مهم من صنعها فهي بنفس الجوده عكس سيارات الوقود الى تحتاج الى صانع ماهر في المكينه والقير وانظمه الحركه التى لازم تعمل بتناغم كبير",positive
"السيارات الكهربائيه لا تصلح اطلاقا بها نسبه خطوره كبيره ولا تصلح في الاجواء الحاره وايست اعتماديه نهائيا",negative
"السياره الكهربائيه هتكون الإختيار الأفضل والوحيد فى حاله واحده لو الدوله فتحت باب استيراد النوع دا من السيارات وقطع غيراها بدون جمارك للشركات والوكلاء والافراد أو تم تصنيعها أو تجمعها داخل مصرورخص تمنها وبقى فى متناول جميع فئات الشعب ساعتها هتبقى زيها زى التليفون المحمول ويبقلها أسواق بيع وشراء واستبدال ولما ينتهى عمرها الافتراضى ومينفعش فيها صيانهيتعمل لها أعاده تدوير ويتم التخلص من الأجزاء الخطر إللى فيها عن طريق ناس متخصصه والدوله هتوفر مليارات الدولارات مواد بتروليه زي البنزين وزيوت السيارات وهنحافظ على البيئه ونحد من إرتفاع درجه حراره الأرض والتغير المناخي",neutral
"هل ممكن ان يتم تحويل سيارة البنزين الي كهرباء؟",neutral
"اكيد المستقبل للسيارات الكهربائية",positive
"خطر انفجار البطاريات في الأجواء الحارة يهدد الحياةتصلح باوروبا وامريكا",negative
"بعد خمس سنوات باذن الله ونعرف العيوب يعني ",neutral
"مشروع فاشل السيارات الكهرابائية",negative
"كم الطاقه المستهلكه فى الساعه لشحن البطاريه ؟ وكم عدد الساعات المطلوبه لشحن البطاريه",neutral
"نوع البطاريه ايه وما هو العمر الافتراضي وكم سعر البطاريات ؟",neutral
"سعر البطارية نص سعر السيارة",neutral
"سيارات فاشلة",negative
"كام سعر السياره الكهربائيه",neutral
"كثرة السيارات الكهربائية لازم يرافقها كثرة الورش لصيانتها",neutral
"اكبر خطىء هو شراء سيارة كهرباءية في دولة عربية لان مشاكلها ستتكاثر ولن تجدوا الحلول هي اصلا لم يتحكموا في تكنلوجيتها ",negative
"سؤال بالنسبة لقطع الغيار في حالة الحوادث لاقدر الله هل متوفره وهل لها قطع استعمال ولا لا",neutral
"سعر البطارية كام متوسط السعر يعني",neutral
"ثمن العربية غالي جدا ، فالصرف أصلا يبقي في ثمن السيارة الباهظ جدا  ثانيا مدة الشحن طويلة جدا  ثالثا البطاريات لما تقدم ممكن ترمي السيارة",negative
"مشروع السيارة الكهربائية  هو مشروع  غير ناضج  انه مشروع سياسي قبل ان يكون مشروعا بيئيا او اقتصاديا",negative
"انتاج طن من الليثيوم يحتاج الى مليون لتر من الماءعالم الكيمياء المغربي رشيد اليزمي واحد من الذين ساهموا في اختراع بطاريات الليثيوم",neutral
"احتمالية انك تسوي حادث فيها هي  بسبب ان سرعتها القصوى هي  و لانها صغيرة ف تعدي من اي مكان ببساطة",positive
"بالعكس اصلا نسبه انك تسوي فيها حادث ولا واحد بالميه لانها صغيره",positive
"كم سعر بطاريتها ؟ كم العمر الافتراضي للبطارية ؟ كم مدة شحنها لتونس للفل؟",neutral
"أكثر عيوب السيارة هاذي أنها اكيد لا تتحمل صدمة اي حادث بسيط يعرض حياة الركاب للخطر وشكرا",negative
"   السيارة مبنية من هيكل من الفولاذ ومحققة اعلى معايير السلامة الاوروبية والالمانية",positive
"بالنسبة للسيارات الكهربائية سعرها رخيص جدا",positive
